timestamp,event_type,source_ip,destination_ip,destination_port,protocol,packet_size,connection_type,response_time_ms,status_code,geo_location,zone_id,device_id,is_attack,attack_type,severity
2026-03-04T10:00:00.000Z,http_request,103.21.244.10,172.16.1.10,443,HTTPS,1420,ACK,85,200,India,zone-nariman,SL-NARIMAN-001,false,none,none
2026-03-04T10:00:00.120Z,http_request,103.21.244.11,172.16.1.11,443,HTTPS,1380,ACK,92,200,India,zone-nariman,SL-NARIMAN-002,false,none,none
2026-03-04T10:00:00.250Z,http_request,103.21.244.12,172.16.2.10,443,HTTPS,1450,ACK,78,200,India,zone-bkc,SL-BKC-001,false,none,none
2026-03-04T10:00:00.380Z,network_traffic,103.21.244.13,172.16.2.11,80,HTTP,1500,ACK,95,200,India,zone-bkc,SL-BKC-002,false,none,none
2026-03-04T10:00:00.500Z,http_request,103.21.244.14,172.16.3.10,443,HTTPS,1420,ACK,88,200,India,zone-airport,SL-AIRPORT-001,false,none,none
2026-03-04T10:00:00.650Z,connection_attempt,103.21.244.15,172.16.3.11,22,TCP,64,SYN,45,0,India,zone-airport,SL-AIRPORT-002,false,none,none
2026-03-04T10:00:00.800Z,http_request,103.21.245.10,172.16.1.12,443,HTTPS,1390,ACK,102,200,India,zone-nariman,SL-NARIMAN-003,false,none,none
2026-03-04T10:00:00.950Z,network_traffic,103.21.245.11,172.16.4.10,80,HTTP,1480,ACK,76,200,India,zone-andheri,SL-ANDHERI-001,false,none,none
2026-03-04T10:00:01.100Z,http_request,103.21.245.12,172.16.5.10,443,HTTPS,1410,ACK,91,200,India,zone-powai,SL-POWAI-001,false,none,none
2026-03-04T10:00:01.250Z,http_request,103.21.245.13,172.16.6.10,443,HTTPS,1430,ACK,83,200,India,zone-bandra,SL-BANDRA-001,false,none,none
2026-03-04T10:00:01.400Z,network_traffic,103.21.245.14,172.16.7.10,80,HTTP,1460,ACK,97,200,India,zone-jnpt,SL-JNPT-001,false,none,none
2026-03-04T10:00:01.550Z,http_request,103.21.245.15,172.16.1.13,443,HTTPS,1400,ACK,89,200,India,zone-nariman,SL-NARIMAN-004,false,none,none
2026-03-04T10:00:01.700Z,http_request,103.21.246.10,172.16.2.12,443,HTTPS,1440,ACK,94,200,India,zone-bkc,SL-BKC-003,false,none,none
2026-03-04T10:00:01.850Z,connection_attempt,103.21.246.11,172.16.3.12,22,TCP,64,SYN,42,0,India,zone-airport,SL-AIRPORT-003,false,none,none
2026-03-04T10:00:02.000Z,http_request,103.21.246.12,172.16.1.14,443,HTTPS,1410,ACK,86,200,India,zone-nariman,SL-NARIMAN-005,false,none,none
2026-03-04T10:00:02.150Z,network_traffic,103.21.246.13,172.16.4.11,80,HTTP,1470,ACK,99,200,India,zone-andheri,SL-ANDHERI-002,false,none,none
2026-03-04T10:00:02.300Z,http_request,103.21.246.14,172.16.5.11,443,HTTPS,1420,ACK,87,200,India,zone-powai,SL-POWAI-002,false,none,none
2026-03-04T10:00:02.450Z,http_request,202.91.10.15,172.16.6.11,443,HTTPS,1435,ACK,105,200,Singapore,zone-bandra,SL-BANDRA-002,false,none,none
2026-03-04T10:00:02.600Z,network_traffic,202.91.10.16,172.16.7.11,80,HTTP,1455,ACK,92,200,Singapore,zone-jnpt,SL-JNPT-002,false,none,none
2026-03-04T10:00:02.750Z,http_request,104.18.20.10,172.16.1.15,443,HTTPS,1425,ACK,110,200,United States,zone-nariman,SL-NARIMAN-006,false,none,none
2026-03-04T10:00:02.900Z,http_request,104.18.20.11,172.16.2.13,443,HTTPS,1445,ACK,98,200,United States,zone-bkc,SL-BKC-004,false,none,none
2026-03-04T10:00:03.050Z,connection_attempt,185.220.101.10,172.16.3.13,22,TCP,64,SYN,48,0,Germany,zone-airport,SL-AIRPORT-004,false,none,none
2026-03-04T10:00:03.200Z,http_request,185.220.101.11,172.16.1.16,443,HTTPS,1415,ACK,115,200,Germany,zone-nariman,SL-NARIMAN-007,false,none,none
2026-03-04T10:00:03.350Z,network_traffic,103.21.247.10,172.16.4.12,80,HTTP,1465,ACK,81,200,India,zone-andheri,SL-ANDHERI-003,false,none,none
2026-03-04T10:00:03.500Z,http_request,103.21.247.11,172.16.5.12,443,HTTPS,1430,ACK,93,200,India,zone-powai,SL-POWAI-003,false,none,none
2026-03-04T10:00:03.650Z,http_request,103.21.247.12,172.16.6.12,443,HTTPS,1440,ACK,88,200,India,zone-bandra,SL-BANDRA-003,false,none,none
2026-03-04T10:00:03.800Z,network_traffic,103.21.247.13,172.16.7.12,80,HTTP,1450,ACK,96,200,India,zone-jnpt,SL-JNPT-003,false,none,none
2026-03-04T10:00:03.950Z,http_request,103.21.247.14,172.16.1.17,443,HTTPS,1420,ACK,84,200,India,zone-nariman,SL-NARIMAN-008,false,none,none
2026-03-04T10:00:04.100Z,http_request,103.21.247.15,172.16.2.14,443,HTTPS,1435,ACK,91,200,India,zone-bkc,SL-BKC-005,false,none,none
2026-03-04T10:00:04.250Z,connection_attempt,103.21.248.10,172.16.3.14,22,TCP,64,SYN,46,0,India,zone-airport,SL-AIRPORT-005,false,none,none
2026-03-04T10:00:04.400Z,http_request,43.252.10.15,172.16.1.18,443,HTTPS,1425,ACK,120,200,Japan,zone-nariman,SL-NARIMAN-009,false,none,none
2026-03-04T10:00:04.550Z,network_traffic,43.252.10.16,172.16.4.13,80,HTTP,1475,ACK,89,200,Japan,zone-andheri,SL-ANDHERI-004,false,none,none
2026-03-04T10:00:04.700Z,http_request,103.21.248.11,172.16.5.13,443,HTTPS,1410,ACK,87,200,India,zone-powai,SL-POWAI-004,false,none,none
2026-03-04T10:00:04.850Z,http_request,103.21.248.12,172.16.6.13,443,HTTPS,1430,ACK,92,200,India,zone-bandra,SL-BANDRA-004,false,none,none
2026-03-04T10:00:05.000Z,network_traffic,103.21.248.13,172.16.7.13,80,HTTP,1460,ACK,95,200,India,zone-jnpt,SL-JNPT-004,false,none,none
2026-03-04T10:00:05.150Z,http_request,103.21.248.14,172.16.1.19,443,HTTPS,1415,ACK,86,200,India,zone-nariman,SL-NARIMAN-010,false,none,none
2026-03-04T10:00:05.300Z,http_request,103.21.248.15,172.16.2.15,443,HTTPS,1440,ACK,94,200,India,zone-bkc,SL-BKC-006,false,none,none
2026-03-04T10:00:05.450Z,http_request,51.158.10.20,172.16.3.15,443,HTTPS,1450,ACK,125,200,France,zone-airport,SL-AIRPORT-006,false,none,none
2026-03-04T10:00:05.600Z,network_traffic,103.21.249.10,172.16.4.14,80,HTTP,1470,ACK,82,200,India,zone-andheri,SL-ANDHERI-005,false,none,none
2026-03-04T10:00:05.750Z,http_request,103.21.249.11,172.16.5.14,443,HTTPS,1420,ACK,90,200,India,zone-powai,SL-POWAI-005,false,none,none
2026-03-04T10:00:05.900Z,http_request,103.21.249.12,172.16.6.14,443,HTTPS,1435,ACK,88,200,India,zone-bandra,SL-BANDRA-005,false,none,none
2026-03-04T10:00:06.050Z,network_traffic,103.21.249.13,172.16.7.14,80,HTTP,1455,ACK,97,200,India,zone-jnpt,SL-JNPT-005,false,none,none
2026-03-04T10:00:06.200Z,http_request,103.21.249.14,172.16.1.10,443,HTTPS,1425,ACK,85,200,India,zone-nariman,SL-NARIMAN-001,false,none,none
2026-03-04T10:00:06.350Z,http_request,103.21.249.15,172.16.2.16,443,HTTPS,1445,ACK,93,200,India,zone-bkc,SL-BKC-007,false,none,none
