timestamp,event_type,source_ip,destination_ip,destination_port,protocol,packet_size,connection_type,response_time_ms,status_code,geo_location,zone_id,device_id,is_attack,attack_type,severity
2026-03-04T16:00:00.000Z,network_traffic,103.25.10.20,172.16.1.10,53,UDP,225,UDP,95,0,India,zone-nariman,SL-NARIMAN-001,false,none,none
2026-03-04T16:00:00.120Z,network_traffic,103.25.10.21,172.16.2.11,123,UDP,342,UDP,73,0,Singapore,zone-bkc,SL-BKC-002,false,none,none
2026-03-04T16:00:00.240Z,network_traffic,103.25.10.22,172.16.3.12,53,UDP,804,UDP,114,0,India,zone-airport,SL-AIRPORT-003,false,none,none
2026-03-04T16:00:00.360Z,network_traffic,103.25.10.23,172.16.4.13,53,UDP,295,UDP,87,0,India,zone-andheri,SL-ANDHERI-004,false,none,none
2026-03-04T16:00:00.480Z,network_traffic,103.25.10.24,172.16.5.14,53,UDP,774,UDP,85,0,Singapore,zone-powai,SL-POWAI-005,false,none,none
2026-03-04T16:00:00.600Z,network_traffic,103.25.10.25,172.16.6.15,1900,UDP,425,UDP,117,0,Singapore,zone-bandra,SL-BANDRA-006,false,none,none
2026-03-04T16:00:00.720Z,network_traffic,103.25.10.26,172.16.7.16,161,UDP,206,UDP,80,0,Singapore,zone-jnpt,SL-JNPT-007,false,none,none
2026-03-04T16:00:00.840Z,network_traffic,103.25.10.27,172.16.1.17,1900,UDP,548,UDP,95,0,India,zone-nariman,SL-NARIMAN-008,false,none,none
2026-03-04T16:00:00.960Z,network_traffic,103.25.10.28,172.16.2.18,123,UDP,544,UDP,73,0,India,zone-bkc,SL-BKC-009,false,none,none
2026-03-04T16:00:01.080Z,network_traffic,103.25.10.29,172.16.3.19,1900,UDP,299,UDP,105,0,UAE,zone-airport,SL-AIRPORT-010,false,none,none
2026-03-04T16:00:01.200Z,network_traffic,103.25.10.30,172.16.4.20,161,UDP,244,UDP,118,0,Singapore,zone-andheri,SL-ANDHERI-011,false,none,none
2026-03-04T16:00:01.320Z,network_traffic,103.25.10.31,172.16.5.21,53,UDP,587,UDP,70,0,Singapore,zone-powai,SL-POWAI-012,false,none,none
2026-03-04T16:00:01.440Z,network_traffic,103.25.10.32,172.16.6.22,161,UDP,843,UDP,139,0,UAE,zone-bandra,SL-BANDRA-013,false,none,none
2026-03-04T16:00:01.560Z,network_traffic,103.25.10.33,172.16.7.23,123,UDP,271,UDP,65,0,Singapore,zone-jnpt,SL-JNPT-014,false,none,none
2026-03-04T16:00:01.680Z,network_traffic,103.25.10.34,172.16.1.24,123,UDP,496,UDP,70,0,India,zone-nariman,SL-NARIMAN-015,false,none,none
2026-03-04T16:00:01.800Z,network_traffic,103.25.10.35,172.16.2.25,53,UDP,589,UDP,95,0,UAE,zone-bkc,SL-BKC-016,false,none,none
2026-03-04T16:00:01.920Z,network_traffic,103.25.10.36,172.16.3.26,161,UDP,366,UDP,107,0,UAE,zone-airport,SL-AIRPORT-017,false,none,none
2026-03-04T16:00:02.040Z,network_traffic,103.25.10.37,172.16.4.27,123,UDP,886,UDP,94,0,Singapore,zone-andheri,SL-ANDHERI-018,false,none,none
2026-03-04T16:00:02.160Z,network_traffic,103.25.10.38,172.16.5.28,53,UDP,823,UDP,81,0,Singapore,zone-powai,SL-POWAI-019,false,none,none
2026-03-04T16:00:02.280Z,network_traffic,103.25.10.39,172.16.6.29,123,UDP,367,UDP,119,0,UAE,zone-bandra,SL-BANDRA-020,false,none,none
2026-03-04T16:00:02.400Z,network_traffic,45.130.200.50,172.16.1.10,5683,UDP,4011,UDP,587,0,Russia,zone-nariman,SL-NARIMAN-001,true,udp_flood,critical
2026-03-04T16:00:02.520Z,network_traffic,45.131.201.51,172.16.2.11,53,UDP,7408,UDP,426,0,Russia,zone-bkc,SL-BKC-002,true,udp_flood,critical
2026-03-04T16:00:02.640Z,network_traffic,45.132.202.52,172.16.3.12,161,UDP,8532,UDP,276,0,Romania,zone-airport,SL-AIRPORT-003,true,udp_flood,critical
