timestamp,event_type,source_ip,destination_ip,destination_port,protocol,packet_size,connection_type,response_time_ms,status_code,geo_location,zone_id,device_id,is_attack,attack_type,severity
2026-03-04T19:00:00.000Z,network_traffic,103.60.20.40,172.16.1.10,80,TCP,1311,UDP,87,0,UAE,zone-nariman,SL-NARIMAN-001,false,none,none
2026-03-04T19:00:00.090Z,network_traffic,103.60.20.41,172.16.2.11,53,HTTPS,1436,ACK,176,200,Singapore,zone-bkc,SL-BKC-002,false,none,none
2026-03-04T19:00:00.180Z,network_traffic,103.60.20.42,172.16.3.12,443,UDP,396,ACK,161,200,India,zone-airport,SL-AIRPORT-003,false,none,none
2026-03-04T19:00:00.270Z,network_traffic,103.60.20.43,172.16.4.13,443,UDP,209,ACK,75,200,UAE,zone-andheri,SL-ANDHERI-004,false,none,none
2026-03-04T19:00:00.360Z,network_traffic,103.60.20.44,172.16.5.14,123,HTTPS,1232,UDP,102,0,Singapore,zone-powai,SL-POWAI-005,false,none,none
2026-03-04T19:00:00.450Z,network_traffic,103.60.20.45,172.16.6.15,53,TCP,851,ACK,180,200,UAE,zone-bandra,SL-BANDRA-006,false,none,none
2026-03-04T19:00:00.540Z,network_traffic,103.60.20.46,172.16.7.16,53,TCP,1014,UDP,165,200,UAE,zone-jnpt,SL-JNPT-007,false,none,none
2026-03-04T19:00:00.630Z,network_traffic,103.60.20.47,172.16.1.17,443,UDP,1136,UDP,117,200,India,zone-nariman,SL-NARIMAN-008,false,none,none
2026-03-04T19:00:00.720Z,network_traffic,103.60.20.48,172.16.2.18,123,HTTPS,281,UDP,147,0,Singapore,zone-bkc,SL-BKC-009,false,none,none
2026-03-04T19:00:00.810Z,network_traffic,103.60.20.49,172.16.3.19,53,UDP,330,ACK,111,200,UAE,zone-airport,SL-AIRPORT-010,false,none,none
2026-03-04T19:00:00.900Z,network_traffic,103.60.20.50,172.16.4.20,123,UDP,461,UDP,114,200,India,zone-andheri,SL-ANDHERI-011,false,none,none
2026-03-04T19:00:00.990Z,network_traffic,103.60.20.51,172.16.5.21,53,HTTPS,1379,UDP,105,0,India,zone-powai,SL-POWAI-012,false,none,none
2026-03-04T19:00:01.080Z,network_traffic,103.60.20.52,172.16.6.22,123,HTTPS,864,ACK,73,0,Singapore,zone-bandra,SL-BANDRA-013,false,none,none
2026-03-04T19:00:01.170Z,network_traffic,103.60.20.53,172.16.7.23,123,HTTPS,191,ACK,78,0,Singapore,zone-jnpt,SL-JNPT-014,false,none,none
2026-03-04T19:00:01.260Z,network_traffic,103.60.20.54,172.16.1.24,53,UDP,904,ACK,147,0,Singapore,zone-nariman,SL-NARIMAN-015,false,none,none
